N,City,State,Name,Address,Type,Food,Tourist Attraction,Museum,Park,Shopping,Entertainment,Accommodation,Government,Rating,Total Ratings,Status,Latitude,Longitude,Open Now,Price Level,Website,Local Phone,International Phone,Permanently Closed,Place ID,Viewport,Icon URL
1,New York City,New York,Times Square,Manhattan,"Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,213594,OPERATIONAL,40.7579747,-73.9855426,0,No data,No data,No data,No data,0,ChIJmQJIxlVYwokRLgeuocVOGVU,"{'northeast': {'lat': 40.76098665, 'lng': -73.98340519999999}, 'southwest': {'lat': 40.75504125, 'lng': -73.98769160000003}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2,New York City,New York,Radio City Music Hall,"1260 6th Avenue, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.8,23621,OPERATIONAL,40.759976,-73.9799772,0,No data,No data,No data,No data,0,ChIJPS8b1vhYwokRldqq2YHmxJI,"{'northeast': {'lat': 40.76128028029149, 'lng': -73.97879046970849}, 'southwest': {'lat': 40.75858231970849, 'lng': -73.9814884302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
3,New York City,New York,Lincoln Center for the Performing Arts,"Lincoln Center Plaza, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.8,19002,OPERATIONAL,40.7724641,-73.9834889,0,4,No data,No data,No data,0,ChIJN6W-X_VYwokRTqwcBnTw1Uk,"{'northeast': {'lat': 40.77467725000001, 'lng': -73.9812065}, 'southwest': {'lat': 40.77064704999999, 'lng': -73.98732769999998}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
4,New York City,New York,Rockefeller Center,"45 Rockefeller Plaza, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,175196,OPERATIONAL,40.7587402,-73.9786736,1,No data,No data,No data,No data,0,ChIJ9U1mz_5YwokRosza1aAk0jM,"{'northeast': {'lat': 40.75981973029149, 'lng': -73.97721755}, 'southwest': {'lat': 40.75712176970849, 'lng': -73.98132935000001}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
5,New York City,New York,The Museum of Modern Art,"11 West 53rd Street, New York","Tourist Attraction, Art Gallery, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.6,50925,OPERATIONAL,40.7614327,-73.9776216,0,No data,No data,No data,No data,0,ChIJKxDbe_lYwokRVf__s8CPn-o,"{'northeast': {'lat': 40.7626839802915, 'lng': -73.97636031970849}, 'southwest': {'lat': 40.7599860197085, 'lng': -73.9790582802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
6,New York City,New York,Empire State Building,"20 West 34th Street, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.7,103618,OPERATIONAL,40.7484405,-73.9856644,0,No data,No data,No data,No data,0,ChIJaXQRs6lZwokRY6EFpJnhNNE,"{'northeast': {'lat': 40.7497114802915, 'lng': -73.9839252197085}, 'southwest': {'lat': 40.7470135197085, 'lng': -73.9866231802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
7,New York City,New York,Madison Square Garden,"4 Pennsylvania Plaza, New York","Tourist Attraction, Stadium, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,30317,OPERATIONAL,40.7505045,-73.9934387,0,No data,No data,No data,No data,0,ChIJhRwB-yFawokR5Phil-QQ3zM,"{'northeast': {'lat': 40.7522709, 'lng': -73.98980375}, 'southwest': {'lat': 40.7490653, 'lng': -73.99636075}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
8,New York City,New York,Intrepid Museum,"Pier 86, West 46th Street, New York","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.6,38838,OPERATIONAL,40.7648801,-74.0008306,0,No data,No data,No data,No data,0,ChIJnxlg1U5YwokR8T90UrZiIwI,"{'northeast': {'lat': 40.7659448302915, 'lng': -73.99792300000001}, 'southwest': {'lat': 40.7632468697085, 'lng': -74.0017998}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
9,New York City,New York,St. Patrick's Cathedral,"5th Avenue, New York","Tourist Attraction, Church, Place Of Worship, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.8,36110,OPERATIONAL,40.7586117,-73.9761953,0,0,No data,No data,No data,0,ChIJUW4vEPxYwokRW6o24DU0YIg,"{'northeast': {'lat': 40.7598658302915, 'lng': -73.97456464999999}, 'southwest': {'lat': 40.7571678697085, 'lng': -73.97775844999998}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png
10,New York City,New York,The Battery,New York,"Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.6,70395,OPERATIONAL,40.7029312,-74.0153603,0,0,No data,No data,No data,0,ChIJraKL-BJawokREpxDmF5GcL4,"{'northeast': {'lat': 40.7065562, 'lng': -74.01027504999999}, 'southwest': {'lat': 40.6995454, 'lng': -74.01940445}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
11,New York City,New York,Beacon Theatre,"2124 Broadway, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,5978,OPERATIONAL,40.7805136,-73.9810847,0,3,No data,No data,No data,0,ChIJEdN5k4lYwokRuNPGGOZUwOQ,"{'northeast': {'lat': 40.7818811302915, 'lng': -73.97987016970849}, 'southwest': {'lat': 40.7791831697085, 'lng': -73.9825681302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
12,New York City,New York,Museum of Sex,"233 5th Avenue, New York","Museum, Tourist Attraction, Store, Bar, Point Of Interest, Establishment",1,1,1,0,0,0,0,0,4.3,4520,OPERATIONAL,40.7440291,-73.9872529,0,2,No data,No data,No data,0,ChIJR026QqZZwokRgLuHSIZNIKM,"{'northeast': {'lat': 40.7454536802915, 'lng': -73.9861604697085}, 'southwest': {'lat': 40.7427557197085, 'lng': -73.98885843029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
13,New York City,New York,Brooklyn Bridge Park,Brooklyn,"Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.8,38750,OPERATIONAL,40.7022422,-73.9958601,0,No data,No data,No data,No data,0,ChIJjaFpo0ZawokRBcOFUZ13CaE,"{'northeast': {'lat': 40.70897915, 'lng': -73.98928985000002}, 'southwest': {'lat': 40.68643855000001, 'lng': -74.00436925}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
14,New York City,New York,Carnegie Hall,"881 7th Avenue, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,8224,OPERATIONAL,40.7651258,-73.9799236,0,No data,No data,No data,No data,0,ChIJ2RFUePdYwokRd5R6XF6xFD0,"{'northeast': {'lat': 40.7666136302915, 'lng': -73.97846401970848}, 'southwest': {'lat': 40.7639156697085, 'lng': -73.98116198029149}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
15,New York City,New York,Prospect Park,Brooklyn,"Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.7,26040,OPERATIONAL,40.6602037,-73.9689558,0,0,No data,No data,No data,0,ChIJQwRohxBbwokRmHrfAMb3ixc,"{'northeast': {'lat': 40.68330030000001, 'lng': -73.95329260000001}, 'southwest': {'lat': 40.64052509999999, 'lng': -73.98829219999999}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
